Cin,UKa,uly,Atl,Phi,Bos,Ber,Cha,NYC,Den,San,UMi,Tor,Roa
0.001,0.001,0.003,0.004,0.02,0.04,0.118,0.222,0.273,1.1,1.448,2.028,1.98,24.548
0.001,0.001,0.004,0.006,0.026,0.046,0.146,0.259,0.242,0.634,1.602,1.692,1.778,29.413
0.001,0.001,0.004,0.005,0.024,0.05,0.124,0.175,0.378,0.907,1.491,1.882,2.928,29.345
0.0,0.001,0.001,0.007,0.02,0.045,0.1,0.29,0.386,0.914,1.047,1.944,1.46,23.079
0.0,0.001,0.002,0.007,0.037,0.037,0.083,0.19,0.294,0.751,1.084,2.047,2.816,18.719
0.0,0.001,0.003,0.007,0.016,0.04,0.105,0.145,0.334,0.886,1.309,1.784,2.213,18.856
0.001,0.0,0.003,0.007,0.026,0.057,0.093,0.192,0.273,1.384,0.687,2.274,1.813,26.235
0.001,0.0,0.002,0.006,0.038,0.048,0.143,0.208,0.181,1.054,0.636,2.152,1.874,25.734
0.002,0.001,0.002,0.018,0.027,0.043,0.076,0.182,0.297,1.021,0.8,2.17,1.517,23.426
0.002,0.001,0.001,0.017,0.04,0.181,0.296,0.424,0.198,3.103,0.683,2.113,1.47,30.303
